j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.10902, -1189413.40888, 0.00000, 1.10484, 2.21387, -1.10902
2, -1.00902, -1189414.10798, -0.69910, 1.11071, 2.11999, -1.00928
3, -0.90902, -1189413.83146, -0.42258, 1.11692, 2.02668, -0.90976
4, -0.80902, -1189413.24728, 0.16161, 1.12597, 1.93613, -0.81016
5, -0.70902, -1189412.33819, 1.07069, 1.13719, 1.84790, -0.71071
6, -0.60902, -1189411.06795, 2.34094, 1.15191, 1.76318, -0.61127
7, -0.50902, -1189409.35653, 4.05235, 1.17202, 1.68390, -0.51188
8, -0.40902, -1189407.36272, 6.04616, 1.19337, 1.60561, -0.41224
9, -0.30902, -1189405.17371, 8.23517, 1.22140, 1.53363, -0.31222
10, -0.20902, -1189403.41536, 9.99353, 1.24576, 1.45694, -0.21118
11, -0.10902, -1189402.94350, 10.46538, 1.27106, 1.38001, -0.10895
12, -0.00902, -1189404.27362, 9.13527, 1.30449, 1.31110, -0.00662
13, 0.09098, -1189406.51698, 6.89190, 1.34444, 1.24920, 0.09524
14, 0.19098, -1189409.80144, 3.60745, 1.39242, 1.19607, 0.19636
15, 0.29098, -1189413.56031, -0.15142, 1.44676, 1.14990, 0.29686
16, 0.39098, -1189417.41455, -4.00567, 1.50869, 1.11203, 0.39666
17, 0.49098, -1189421.13029, -7.72141, 1.57773, 1.08148, 0.49625
18, 0.59098, -1189424.46249, -11.05361, 1.65148, 1.05587, 0.59561
19, 0.69098, -1189427.29395, -13.88506, 1.72940, 1.03472, 0.69468
20, 0.79098, -1189429.72845, -16.31956, 1.81493, 1.02083, 0.79410
21, 0.89098, -1189431.68544, -18.27655, 1.90295, 1.00933, 0.89363
22, 0.99098, -1189433.19457, -19.78568, 1.99156, 0.99858, 0.99299
23, 1.09098, -1189435.93475, -22.52587, 2.08552, 0.99301, 1.09251
24, 1.19098, -1189436.81851, -23.40962, 2.17926, 0.98718, 1.19208
25, 1.29098, -1189437.39671, -23.98783, 2.27306, 0.98125, 1.29181
26, 1.39098, -1189437.84189, -24.43301, 2.37066, 0.97926, 1.39139
27, 1.49098, -1189438.03033, -24.62144, 2.46598, 0.97468, 1.49130
28, 1.59098, -1189438.17498, -24.76610, 2.56524, 0.97422, 1.59101
29, 1.69098, -1189438.13382, -24.72493, 2.66203, 0.97136, 1.69067
30, 1.79098, -1189438.04677, -24.63789, 2.76146, 0.97065, 1.79080
31, 1.89098, -1189437.83303, -24.42415, 2.85919, 0.96858, 1.89061
32, 1.99098, -1189437.50202, -24.09314, 2.95767, 0.96717, 1.99050
33, 2.09098, -1189437.30522, -23.89633, 3.05842, 0.96789, 2.09053
34, 2.19098, -1189436.93071, -23.52182, 3.15660, 0.96621, 2.19039
35, 2.29098, -1189436.51189, -23.10301, 3.25597, 0.96567, 2.29030
36, 2.39098, -1189435.98901, -22.58012, 3.35425, 0.96413, 2.39013
37, 2.49098, -1189435.64874, -22.23986, 3.45489, 0.96470, 2.49019
38, 2.59098, -1189435.06173, -21.65285, 3.55325, 0.96324, 2.59001
39, 2.69098, -1189434.41481, -21.00593, 3.65269, 0.96277, 2.68991
40, 2.79098, -1189433.72441, -20.31553, 3.75283, 0.96285, 2.78998
41, 2.89098, -1189432.95334, -19.54446, 3.85126, 0.96149, 2.88977
42, 2.99098, -1189432.30221, -18.89333, 3.95255, 0.96269, 2.98987
43, 3.09098, -1189431.48416, -18.07527, 4.05168, 0.96193, 3.08975
44, 3.19098, -1189430.74140, -17.33252, 4.15351, 0.96366, 3.18985
45, 3.29098, -1189429.92188, -16.51299, 4.25282, 0.96316, 3.28966
