j, rc, E, deltaE, d_CH, d_HOcof, rc_m
1, -1.65993, -1190012.88224, 0.00000, 1.10332, 2.76325, -1.65993
2, -1.55993, -1190013.77551, -0.89327, 1.10535, 2.66539, -1.56004
3, -1.45993, -1190013.80754, -0.92530, 1.10660, 2.56674, -1.46014
4, -1.35993, -1190013.63249, -0.75025, 1.10921, 2.46950, -1.36029
5, -1.25993, -1190013.39028, -0.50804, 1.11102, 2.37141, -1.26039
6, -1.15993, -1190012.99572, -0.11348, 1.11554, 2.27619, -1.16065
7, -1.05993, -1190012.50779, 0.37445, 1.11848, 2.17930, -1.06082
8, -0.95993, -1190011.76950, 1.11274, 1.12574, 2.08696, -0.96122
9, -0.85993, -1190010.78852, 2.09372, 1.13344, 1.99506, -0.86162
10, -0.75993, -1190009.54808, 3.33416, 1.14306, 1.90513, -0.76207
11, -0.65993, -1190007.95493, 4.92731, 1.15647, 1.81910, -0.66263
12, -0.55993, -1190005.91322, 6.96901, 1.17569, 1.73899, -0.56331
13, -0.45993, -1190003.46438, 9.41786, 1.19713, 1.66104, -0.46391
14, -0.35993, -1190000.63162, 12.25062, 1.22592, 1.59024, -0.36432
15, -0.25993, -1189997.81068, 15.07156, 1.25217, 1.51640, -0.26422
16, -0.15993, -1189995.21288, 17.66936, 1.28237, 1.44556, -0.16319
17, -0.05993, -1189993.93424, 18.94800, 1.30923, 1.36968, -0.06044
18, 0.04007, -1189994.83020, 18.05204, 1.33779, 1.29498, 0.04281
19, 0.14007, -1189997.50520, 15.37704, 1.37812, 1.23323, 0.14489
20, 0.24007, -1190001.19631, 11.68593, 1.42855, 1.18257, 0.24598
21, 0.34007, -1190005.29646, 7.58578, 1.48726, 1.14104, 0.34623
22, 0.44007, -1190009.42248, 3.45976, 1.55219, 1.10603, 0.44615
23, 0.54007, -1190013.43510, -0.55286, 1.62424, 1.07845, 0.54579
24, 0.64007, -1190017.05380, -4.17156, 1.70122, 1.05605, 0.64518
25, 0.74007, -1190020.43981, -7.55757, 1.78453, 1.03992, 0.74461
26, 0.84007, -1190023.33206, -10.44982, 1.87058, 1.02656, 0.84402
27, 0.94007, -1190025.76486, -12.88262, 1.95849, 1.01524, 0.94325
28, 1.04007, -1190027.83007, -14.94783, 2.04951, 1.00678, 1.04272
29, 1.14007, -1190029.50938, -16.62714, 2.14015, 0.99805, 1.14210
30, 1.24007, -1190031.20299, -18.32075, 2.23781, 0.99567, 1.24214
31, 1.34007, -1190032.39736, -19.51512, 2.33043, 0.98898, 1.34144
32, 1.44007, -1190033.51751, -20.63527, 2.42864, 0.98713, 1.44151
33, 1.54007, -1190034.35997, -21.47773, 2.52499, 0.98375, 1.54124
34, 1.64007, -1190035.07065, -22.18841, 2.62242, 0.98140, 1.64102
35, 1.74007, -1190035.58443, -22.70219, 2.71895, 0.97820, 1.74075
36, 1.84007, -1190035.99701, -23.11477, 2.81725, 0.97668, 1.84057
37, 1.94007, -1190036.23233, -23.35010, 2.91402, 0.97371, 1.94031
38, 2.04007, -1190036.43454, -23.55230, 3.01311, 0.97286, 2.04025
39, 2.14007, -1190036.43936, -23.55713, 3.11048, 0.97047, 2.14000
40, 2.24007, -1190036.32596, -23.44372, 3.20877, 0.96893, 2.23984
41, 2.34007, -1190036.12322, -23.24098, 3.30733, 0.96763, 2.33970
42, 2.44007, -1190035.77458, -22.89234, 3.40460, 0.96518, 2.43942
43, 2.54007, -1190035.66152, -22.77928, 3.50488, 0.96540, 2.53948
44, 2.64007, -1190035.18534, -22.30310, 3.60345, 0.96415, 2.63930
45, 2.74007, -1190034.61203, -21.72979, 3.70237, 0.96321, 2.73916
46, 2.84007, -1190033.99789, -21.11565, 3.80217, 0.96306, 2.83911
47, 2.94007, -1190033.27575, -20.39351, 3.90067, 0.96178, 2.93889
48, 3.04007, -1190032.69472, -19.81248, 4.00291, 0.96391, 3.03900
49, 3.14007, -1190032.14898, -19.26674, 4.10329, 0.96442, 3.13887
50, 3.24007, -1190031.37304, -18.49080, 4.20372, 0.96488, 3.23884
51, 3.34007, -1190030.49351, -17.61127, 4.30363, 0.96496, 3.33867
52, 3.44007, -1190029.76603, -16.88379, 4.40435, 0.96562, 3.43873
53, 3.54007, -1190028.81000, -15.92776, 4.50414, 0.96558, 3.53857
54, 3.64007, -1190027.76737, -14.88513, 4.60404, 0.96556, 3.63848
55, 3.74007, -1190026.70768, -13.82544, 4.70375, 0.96536, 3.73839
56, 3.84007, -1190025.52304, -12.64081, 4.80355, 0.96530, 3.83825
57, 3.94007, -1190024.31479, -11.43255, 4.90350, 0.96530, 3.93819
